NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method	Ensembl GeneIDs
41825469	COX2	cytochrome c oxidase subunit II	Archivesica marissinica	PROTEIN_CODING			
41825471	CYTB	cytochrome b	Archivesica marissinica	PROTEIN_CODING			
41825472	rrnL	16S ribosomal RNA	Archivesica marissinica	rRNA			
41825473	ATP8	ATP synthase F0 subunit 8	Archivesica marissinica	PROTEIN_CODING			
41825474	ND4	NADH dehydrogenase subunit 4	Archivesica marissinica	PROTEIN_CODING			
41825478	ATP6	ATP synthase F0 subunit 6	Archivesica marissinica	PROTEIN_CODING			
41825479	ND3	NADH dehydrogenase subunit 3	Archivesica marissinica	PROTEIN_CODING			
41825484	ND1	NADH dehydrogenase subunit 1	Archivesica marissinica	PROTEIN_CODING			
41825487	ND5	NADH dehydrogenase subunit 5	Archivesica marissinica	PROTEIN_CODING			
41825490	ND6	NADH dehydrogenase subunit 6	Archivesica marissinica	PROTEIN_CODING			
41825491	ND4L	NADH dehydrogenase subunit 4L	Archivesica marissinica	PROTEIN_CODING			
41825493	ND2	NADH dehydrogenase subunit 2	Archivesica marissinica	PROTEIN_CODING			
41825496	rrnS	12S ribosomal RNA	Archivesica marissinica	rRNA			
41825501	COX3	cytochrome c oxidase subunit III	Archivesica marissinica	PROTEIN_CODING			
41825504	COX1	cytochrome c oxidase subunit I	Archivesica marissinica	PROTEIN_CODING			
41825468	trnP-cca	tRNA-Pro	Archivesica marissinica	tRNA			
41825470	trnR-cga	tRNA-Arg	Archivesica marissinica	tRNA			
41825475	trnH-cac	tRNA-His	Archivesica marissinica	tRNA			
41825476	trnE-gaa	tRNA-Glu	Archivesica marissinica	tRNA			
41825477	trnS2-tca	tRNA-Ser	Archivesica marissinica	tRNA			
41825480	trnQ-caa	tRNA-Gln	Archivesica marissinica	tRNA			
41825481	trnI-atc	tRNA-Ile	Archivesica marissinica	tRNA			
41825482	trnK-aaa	tRNA-Lys	Archivesica marissinica	tRNA			
41825483	trnL2-tta	tRNA-Leu	Archivesica marissinica	tRNA			
41825485	trnV-gta	tRNA-Val	Archivesica marissinica	tRNA			
41825486	trnN-aac	tRNA-Asn	Archivesica marissinica	tRNA			
41825488	trnL1-cta	tRNA-Leu	Archivesica marissinica	tRNA			
41825489	trnW-tga	tRNA-Trp	Archivesica marissinica	tRNA			
41825492	trnG-gga	tRNA-Gly	Archivesica marissinica	tRNA			
41825494	trnD-gac	tRNA-Asp	Archivesica marissinica	tRNA			
41825495	trnT-aca	tRNA-Thr	Archivesica marissinica	tRNA			
41825497	trnM-atg	tRNA-Met	Archivesica marissinica	tRNA			
41825498	trnC-tgc	tRNA-Cys	Archivesica marissinica	tRNA			
41825499	trnY-tac	tRNA-Tyr	Archivesica marissinica	tRNA			
41825500	trnS1-aga	tRNA-Ser	Archivesica marissinica	tRNA			
41825502	trnF-ttc	tRNA-Phe	Archivesica marissinica	tRNA			
41825503	trnA-gca	tRNA-Ala	Archivesica marissinica	tRNA			
